Job Title,Cleaned_Job_Skills
ACCESSIBILITY SPECIALIST,"['web', 'accessibility', 'guideline', 'html', 'cs', 'javascript', 'user', 'experience', 'design']"
ADMIN BIG DATA,"['big', 'data', 'management', 'hadoop', 'spark', 'data', 'warehousing', 'sql']"
AGILE PROJECT MANAGER,"['agile', 'methodology', 'scrum', 'kanban', 'project', 'management', 'tool', 'leadership']"
ANDROID DEVELOPER,"['java', 'kotlin', 'android', 'sdk', 'mobile', 'app', 'development', 'uiux', 'design']"
ANSIBLE AUTOMATION ENGINEER,"['ansible', 'automation', 'script', 'linux', 'networking', 'cloud', 'computing']"
APPLICATION SECURITY ENGINEER,"['security', 'protocol', 'penetration', 'testing', 'secure', 'coding', 'practice', 'compliance']"
ARTIFACTORY ADMINISTRATOR,"['artifactory', 'repository', 'management', 'devops', 'tool', 'cicd', 'pipeline']"
ARTIFACTORY ENGINEER,"['artifactory', 'devops', 'practice', 'continuous', 'integration', 'software', 'packaging']"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,"['aiml', 'framework', 'leadership', 'strategic', 'planning', 'data', 'science']"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,"['advanced', 'aiml', 'leadership', 'strategic', 'vision', 'team', 'management']"
ARTIFICIAL INTELLIGENCE ARCHITECT,"['aiml', 'framework', 'system', 'architecture', 'cloud', 'computing', 'data', 'modeling']"
ARTIFICIAL INTELLIGENCE RESEARCHER,"['research', 'methodology', 'aiml', 'algorithm', 'python', 'data', 'analysis']"
AWS DEVOPS ENGINEER,"['aws', 'service', 'devops', 'practice', 'cicd', 'pipeline', 'automation']"
AWS SOLUTIONS ARCHITECT,"['aws', 'service', 'cloud', 'architecture', 'solution', 'design', 'cost', 'optimization']"
AZURE DEVOPS ENGINEER,"['azure', 'service', 'devops', 'practice', 'cicd', 'pipeline', 'automation']"
BAMBOO ENGINEER,"['bamboo', 'cicd', 'pipeline', 'build', 'automation', 'software', 'configuration', 'management']"
BIG DATA ARCHITECT,"['big', 'data', 'technology', 'hadoop', 'spark', 'data', 'warehousing', 'system', 'design']"
BIG DATA ENGINEER,"['hadoop', 'spark', 'etl', 'process', 'data', 'processing', 'database', 'management']"
BIG DATA SPECIALIST,"['big', 'data', 'technology', 'data', 'analysis', 'sql', 'data', 'mining']"
BITBUCKET ENGINEER,"['bitbucket', 'git', 'version', 'control', 'cicd', 'integration']"
BLOCKCHAIN DEVELOPER,"['blockchain', 'technology', 'solidity', 'cryptography', 'smart', 'contract']"
BUILD AND RELEASE ENGINEER,"['cicd', 'pipeline', 'build', 'system', 'automation', 'configuration', 'management']"
BUILD ENGINEER,"['build', 'system', 'scripting', 'automation', 'software', 'configuration', 'management']"
BUSINESS SYSTEMS ANALYST,"['requirement', 'gathering', 'process', 'analysis', 'system', 'design', 'documentation']"
C# DEVELOPER,"['c', 'net', 'framework', 'aspnet', 'software', 'development', 'objectoriented', 'programming']"
CHEF INSPEC ENGINEER,"['chef', 'inspec', 'compliance', 'automation', 'infrastructure', 'testing', 'ruby']"
CHEF OPERATIONS ENGINEER,"['chef', 'automation', 'infrastructure', 'management', 'ruby']"
CLOUD ADMINISTRATOR,"['cloud', 'platform', 'system', 'administration', 'virtualization', 'networking']"
CLOUD ARCHITECT,"['cloud', 'platform', 'system', 'architecture', 'cloud', 'security', 'devops']"
CLOUD AUTOMATION ENGINEER,"['cloud', 'automation', 'tool', 'scripting', 'configuration', 'management', 'devops']"
CLOUD NETWORK ENGINEER,"['cloud', 'networking', 'virtual', 'network', 'network', 'security', 'cloud', 'platform']"
